AA,0,0,0,0,0,0,0,0,0
AC,0,0,0,0,0,0,0,0,1
AD,0,0,0,0,0,0,0,1,0
AE,0,0,0,0,0,0,0,1,1
AF,0,0,0,0,0,0,1,0,0
AG,0,0,0,0,0,0,1,0,1
AH,0,0,0,0,0,0,1,1,0
AI,0,0,0,0,0,0,1,1,1
AK,0,0,0,0,0,1,0,0,0
AL,0,0,0,0,0,1,0,0,1
AM,0,0,0,0,0,1,0,1,0
AN,0,0,0,0,0,1,0,1,1
AP,0,0,0,0,0,1,1,0,0
AQ,0,0,0,0,0,1,1,0,1
AR,0,0,0,0,0,1,1,1,0
AS,0,0,0,0,0,1,1,1,1
AT,0,0,0,0,1,0,0,0,0
AV,0,0,0,0,1,0,0,0,1
AW,0,0,0,0,1,0,0,1,0
AY,0,0,0,0,1,0,0,1,1
CA,0,0,0,0,1,0,1,0,0
CC,0,0,0,0,1,0,1,0,1
CD,0,0,0,0,1,0,1,1,0
CE,0,0,0,0,1,0,1,1,1
CF,0,0,0,0,1,1,0,0,0
CG,0,0,0,0,1,1,0,0,1
CH,0,0,0,0,1,1,0,1,0
CI,0,0,0,0,1,1,0,1,1
CK,0,0,0,0,1,1,1,0,0
CL,0,0,0,0,1,1,1,0,1
CM,0,0,0,0,1,1,1,1,0
CN,0,0,0,0,1,1,1,1,1
CP,0,0,0,1,0,0,0,0,0
CQ,0,0,0,1,0,0,0,0,1
CR,0,0,0,1,0,0,0,1,0
CS,0,0,0,1,0,0,0,1,1
CT,0,0,0,1,0,0,1,0,0
CV,0,0,0,1,0,0,1,0,1
CW,0,0,0,1,0,0,1,1,0
CY,0,0,0,1,0,0,1,1,1
DA,0,0,0,1,0,1,0,0,0
DC,0,0,0,1,0,1,0,0,1
DD,0,0,0,1,0,1,0,1,0
DE,0,0,0,1,0,1,0,1,1
DF,0,0,0,1,0,1,1,0,0
DG,0,0,0,1,0,1,1,0,1
DH,0,0,0,1,0,1,1,1,0
DI,0,0,0,1,0,1,1,1,1
DK,0,0,0,1,1,0,0,0,0
DL,0,0,0,1,1,0,0,0,1
DM,0,0,0,1,1,0,0,1,0
DN,0,0,0,1,1,0,0,1,1
DP,0,0,0,1,1,0,1,0,0
DQ,0,0,0,1,1,0,1,0,1
DR,0,0,0,1,1,0,1,1,0
DS,0,0,0,1,1,0,1,1,1
DT,0,0,0,1,1,1,0,0,0
DV,0,0,0,1,1,1,0,0,1
DW,0,0,0,1,1,1,0,1,0
DY,0,0,0,1,1,1,0,1,1
EA,0,0,0,1,1,1,1,0,0
EC,0,0,0,1,1,1,1,0,1
ED,0,0,0,1,1,1,1,1,0
EE,0,0,0,1,1,1,1,1,1
EF,0,0,1,0,0,0,0,0,0
EG,0,0,1,0,0,0,0,0,1
EH,0,0,1,0,0,0,0,1,0
EI,0,0,1,0,0,0,0,1,1
EK,0,0,1,0,0,0,1,0,0
EL,0,0,1,0,0,0,1,0,1
EM,0,0,1,0,0,0,1,1,0
EN,0,0,1,0,0,0,1,1,1
EP,0,0,1,0,0,1,0,0,0
EQ,0,0,1,0,0,1,0,0,1
ER,0,0,1,0,0,1,0,1,0
ES,0,0,1,0,0,1,0,1,1
ET,0,0,1,0,0,1,1,0,0
EV,0,0,1,0,0,1,1,0,1
EW,0,0,1,0,0,1,1,1,0
EY,0,0,1,0,0,1,1,1,1
FA,0,0,1,0,1,0,0,0,0
FC,0,0,1,0,1,0,0,0,1
FD,0,0,1,0,1,0,0,1,0
FE,0,0,1,0,1,0,0,1,1
FF,0,0,1,0,1,0,1,0,0
FG,0,0,1,0,1,0,1,0,1
FH,0,0,1,0,1,0,1,1,0
FI,0,0,1,0,1,0,1,1,1
FK,0,0,1,0,1,1,0,0,0
FL,0,0,1,0,1,1,0,0,1
FM,0,0,1,0,1,1,0,1,0
FN,0,0,1,0,1,1,0,1,1
FP,0,0,1,0,1,1,1,0,0
FQ,0,0,1,0,1,1,1,0,1
FR,0,0,1,0,1,1,1,1,0
FS,0,0,1,0,1,1,1,1,1
FT,0,0,1,1,0,0,0,0,0
